id,label,left_GenreList,left_HasAlbumName,left_HasAmount,left_HasArtistName,left_HasCopyright,left_HasCurrency,left_Minute,left_Name,left_ReleasedOn,left_Seconds,right_GenreList,right_HasAlbumName,right_HasAmount,right_HasArtistName,right_HasCopyright,right_HasCurrency,right_Minute,right_Name,right_ReleasedOn,right_Seconds
138,0," Music', 'Dance ",One Love ( Deluxe Version ),1.29,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,$,2.0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ,2009-08-21 00:00:00,51.0,Dance & Electronic,Listen ( Deluxe ),1.29,David Guetta,2015 If Moving Your Mine,$,3.0,No Money no Love ( feat . Elliphant & Ms. Dynamite ),2014-11-24 00:00:00,57.0
343,0,"Hip-Hop/Rap ', ' Rock', ' Hardcore Rap ', ' East Coast Rap ', ' Rap ', ' Music ",Blacc Hollywood ( Deluxe Version ),1.99,Wiz Khalifa,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,$,3.0,We Dem Boyz,2014-08-19 00:00:00,56.0,Rap & Hip-Hop,Blacc Hollywood ( Deluxe ) [ Explicit ,1.29,Cameron Jibril Thomaz,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,$,5.0,"We Dem Boyz Remix ( feat . Rick Ross , ScHoolboy Q & Nas ) [ Explicit ",2014-08-19 00:00:00,19.0
16,0," Music ', ' Rock ', ' Adult Alternative', 'Alternative ",VHS,1.29,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$,1.0,VHS Outro ( Interlude ),2015-06-30 00:00:00,25.0,Alternative Rock,VHS [ Clean ,1.29,X Ambassadors,( C ) 2015 KIDinaKORNER/Interscope Records,$,0.0,Moving Day ( Interlude ),2015-06-30 00:00:00,19.0
396,1," Music ', ' Dance', ' Contemporary R&B ', ' Rock ', 'Pop ', ' R&B / Soul ",Future History ( Deluxe Version ),1.99,Jason Joel Desrouleaux,2011 Warner Bros. . Records Inc.,$,3.0,It Girl,2011-09-16 00:00:00,13.0,Pop,Future History ( Deluxe Version ),1.29,Jason Derulo,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,$,3.0,It Girl,2011-09-16 00:00:00,12.0
500,0,"Country ', ' Honky Tonk ', ' Music ', ' Contemporary Country",Reba Duets,1.99,Kelly Clarkson & Reba McEntire,"‰ ãÑ 2007 MCA Nashville , a Division of UMG Recordings , Inc.",$,3.0,Because of You,2007-09-18 00:00:00,42.0,"Country ', ' Contemporary Country","""Reba # 1 's""",1.29,Reba McEntire,"( C ) 2005 MCA Nashville , a Division of UMG Recordings , Inc.",$,3.0,The Fear Of Being Alone ( Album Version ),2005-11-22 00:00:00,2.0
361,0," Hardcore Rap ', ' East Coast Rap ', ' Music ', ' Rap', 'Hip-Hop/Rap ",O.N.I.F.C. ( Deluxe Version ),1.99,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,Blacc Hollywood ( Deluxe ) [ Explicit ,1.29,Wiz Khalifa,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,$,4.0,So High ( feat . Ghost Loft ) [ Explicit ,2014-08-19 00:00:00,9.0
151,0,"Dance ', ' Music",One Love ( Deluxe Version ),1.29,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,$,2.0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ,2009-08-21 00:00:00,51.0,Dance & Electronic,Listen ( Deluxe ),1.29,David Guetta,2015 If Moving Your Mine,$,3.0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ,2014-11-24 00:00:00,20.0
509,0," Rap ', ' Alternative Rap ', ' Music ', 'Hip-Hop/Rap ', ' West Coast Rap",The Heist ( Deluxe Edition ),1.29,Macklemore & Ryan Lewis,"‰ ãÑ 2012 Macklemore , LLC .",$,3.0,A Wake ( feat . Evan Roman ),2012-08-01 00:00:00,46.0,Rap & Hip-Hop,The Heist [ Explicit ,1.29,Macklemore & Ryan Lewis,2014 Selena Garcia & Steven Gomez,$,3.0,Thrift Shop ( feat . Wanz ) [ Explicit ,2012-10-09 00:00:00,55.0
350,0," Hardcore Rap ', ' East Coast Rap ', ' Music ', ' Rap', 'Hip-Hop/Rap ",O.N.I.F.C. ( Deluxe Version ),1.99,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,O.N.I.F.C. [ Explicit ,1.29,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,4.0,Initiation ( feat . Lola Monroe ) [ Explicit ,2012-12-04 00:00:00,29.0
79,0," Music ', ' House ', ' Rock ', ' Electronic ', 'Dance ', ' French Pop",Listen ( Deluxe Version ),1.29,Davi Guet,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",$,3.0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ,2014-11-24 00:00:00,20.0,Dance & Electronic,One Love ( Deluxe Version ),1.29,David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,$,4.0,"""It 's The Way You Love Me ( Feat . Kelly Rowland ; Continuous Mix Version )""",2009-08-21 00:00:00,11.0
387,1," Dance ', ' Music ', ' Teen Pop ', ' Rock', 'Pop ', ' R&B / Soul ",Reflection,1.29,Fifth Harmony,"2014 , 2015 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",$,2.0,We Know,2015-01-30 00:00:00,57.0,Pop,Reflection,1.29,Fifth Harmony,"( C ) 2012 Big Machine Records , LLC .",$,2.0,We Know,2015-01-30 00:00:00,57.0
332,1," Music', 'Hip-Hop/Rap ",Flight School,0.99,Wiz Khalifa,2009 Rostrum Records,$,4.0,Extra Extra Credit,2009-04-17 00:00:00,3.0,Rap & Hip-Hop,Flight School [ Explicit ,0.99,Wiz Khalifa,2013 Mad Decent,$,4.0,Extra Extra Credit [ Explicit ,2009-04-17 00:00:00,3.0
534,0," Music ', 'Hip-Hop/Rap ', ' Gangsta Rap ', ' West Coast Rap', ' Rock ",Doggumentary,1.29,Snoop Dogg,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",$,4.0,Peer Pressure ( feat . Traci Nelson ),2011-03-29 00:00:00,7.0," West Coast', 'Rap & Hip-Hop ",Doggumentary [ Edited ,1.29,Snoop Dogg,"( C ) 2011 Capitol Records , LLC",$,3.0,Boom ( ( Feat . T-Pain ) [ Edited ] ),2011-03-29 00:00:00,50.0
434,0," Music', 'Pop ","""NOW That 's What I Call Music , Vol . 49""",0.0,Zedd,"‰ ãÑ 2014 UMG Recordings , Inc. and Sony Music Entertainment",Album Only,3.0,Stay the Night ( feat . Hayley Williams ),2014-02-04 00:00:00,34.0,Dance & Electronic,Beautiful Now ( Remixes ),1.29,Zedd,( C ) 2015 Interscope Records,$,3.0,Beautiful Now ( Zonderling Remix ) [ feat . Jon Bellion ,2015-07-10 00:00:00,53.0
352,0," East Coast Rap ', ' Music ', ' Rap', 'Hip-Hop/Rap ', ' Hardcore Rap ",O.N.I.F.C. ( Deluxe Version ),1.99,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,Blacc Hollywood ( Deluxe ) [ Explicit ,1.29,Khalifa Wiz,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,$,4.0,KK ( feat . Project Pat & Juicy J ) [ Explicit ,2014-08-19 00:00:00,9.0
184,0,"Dance ', ' Electronic', ' Music ",True Colors,1.29,Zedd,2015 Interscope Records,$,6.0,Illusion ( feat . Echosmith ),2015-05-18 00:00:00,30.0,Dance & Electronic,True Colors,1.29,Zedd,( C ) 2015 Interscope Records,$,4.0,Transmission [ feat . X Ambassadors ,2015-05-18 00:00:00,2.0
3,0," Rock', 'Reggae ', ' Dance ', ' Electronic ', ' Music ",Slow Down ( Reggae Remixes ) - Single,1.29,Selena Gomez,"2013 Hollywood Records , Inc.",$,3.0,Slow Down ( Sure Shot Rockers Reggae Dub Remix ),2013-08-20 00:00:00,15.0,Pop,Good For You ( Remixes ),1.29,Selena Gomez,( C ) 2015 Interscope Records,$,3.0,Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ,2015-09-04 00:00:00,1.0
306,0,"Country ', ' Music","""Now That 's What I Call Country , Vol . 4""",0.0,George Strait,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",Album Only,3.0,The Breath You Take,2011-06-14 00:00:00,34.0,Country,Strait Country,1.29,George Strait,( C ) 1981 MCA Records Inc.,$,2.0,"""If You 're Thinking You Want A Stranger ( There 's One Coming Home )""",1987-09-23 00:00:00,57.0
63,0," Music ', 'Hip-Hop/Rap ', ' Rock ', ' Contemporary R&B', ' Hardcore Rap ', ' R&B / Soul ', ' Rap ",Thank Me Later,1.29,Drake,2010 Young Money Entertainment/Cash Money Records/Universal Motown,$,5.0,Thank Me Now,2010-06-16 00:00:00,28.0,Rap & Hip-Hop,Thank Me Later ( Explicit Version ) [ Explicit ,1.29,Drake,( C ) 2010 Young Money Entertainment/Cash Money Records,$,3.0,Show Me A Good Time ( Explicit ),2010-06-15 00:00:00,30.0
267,0," Music ', 'Hip-Hop/Rap ', ' Rap",Fetty Wap ( Deluxe ),0.0,Fetty Wap,2015 300 Entertainment/RGF Productions,Album Only,5.0,Whateva ( feat . Monty ),2015-06-30 00:00:00,11.0,Rap & Hip-Hop,Fetty Wap [ Clean ,1.29,Fetty Wap,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",$,3.0,How We Do Things ( feat . Monty ) [ Clean ,2015-09-25 00:00:00,31.0
310,0,"Pop ', ' Dance', ' Music ",Born This Way ( The Remix ),0.0,Lady Gaga,2011 Interscope Records,Album Only,9.0,"""Judas ( Royksopp 's 30 Pieces Remix )""",2011-11-21 00:00:00,18.0,Pop,Just Dance ( Remix EP pt2 ),1.29,Lady Gaga,( C ) 2008 Interscope,$,4.0,Just Dance ( RedOne Remix ),2008-11-04 00:00:00,19.0
336,0,"Music', 'Hip-Hop / Rap ', ' Rap ', 'Soundtrack', ' Soundtrack', ' Gangsta Rap ', ' Hardcore Rap ', ' West Coast Rap ",Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ,1.99,Snoop Dogg,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,4.0,"Young , Wild & Free ( feat . Bruno Mars )",2011-12-12 00:00:00,12.0,"Gangsta & Hardcore ', ' Rap & Hip-Hop",R&G ( Rhythm & Gangsta ) : The Masterpiece ( Explicit Version ),0.99,Snoop Dogg,( C ) 2004 Geffen Records,$,3.0,Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ,2004-11-16 00:00:00,8.0
414,1,"Country ', ' Honky Tonk ', ' Music ', ' Contemporary Country",Keith Urban,1.29,Keith Urban,1999 Capitol Records Nashville,$,3.0,I Thought You Knew,1999-10-19 00:00:00,51.0,Country,Keith Urban,1.29,Keith Urban,( C ) 1999 Capitol Records Nashville,$,3.0,I Thought You Knew,1999-10-19 00:00:00,51.0
466,0,"Hip-Hop/Rap ', ' Music",Take Care ( Deluxe Version ),1.29,Aubrey Drake Graham,‰ ãÑ 2011 Cash Money Records Inc.,$,4.0,Take Care ( feat . Rihanna ),2011-11-15 00:00:00,37.0,Rap & Hip-Hop,Take Care ( Deluxe Edition ),1.29,Drake,( C ) 2012 Cash Money Records Inc.,$,3.0,Make Me Proud [ feat . Nicki Minaj ] [ Clean ,2012-03-20 00:00:00,39.0
506,1," Rap ', ' Alternative Rap ', ' Music ', 'Hip-Hop/Rap ', ' West Coast Rap",The Heist ( Deluxe Edition ),1.29,Mack & Ryan Lewi,"‰ ãÑ 2012 Macklemore , LLC .",$,3.0,Thrift Shop ( feat . Wanz ),2012-08-01 00:00:00,55.0,Rap & Hip-Hop,The Heist [ Deluxe Edition ] [ Explicit ,1.29,Macklemore & Ryan Lewis,2014 Selena Garcia & Steven Gomez,$,3.0,Thrift Shop ( feat . Wanz ) [ Explicit ,2012-10-09 00:00:00,55.0
241,0," Rock', ' Music ', 'Singer/Songwriter ",Live After Deaf ( Live ) [ Complete Collection ,0.99,Ryan Adams,2012 PAXAM RECORDS,$,5.0,If I Am a Stranger ( Live In Amsterdam ),2012-07-02 00:00:00,10.0," Rock', 'Folk ",Live After Deaf ( Stockholm ),0.99,Ryan Adams,2012 PAXAM RECORDS,$,2.0,September ( Live in Stockholm ),2012-07-02 00:00:00,43.0
293,1,"Music', ' Electronic', ' Alternative Rap', ' R&B / Soul ', 'Hip-Hop ', 'Dance', ' Soul ', 'Hip-Hop / Rap ",Here Comes the Fuzz,0.99,Mark Ronson,2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States .,$,2.0,Rashi ( Outro ),2003-08-29 00:00:00,1.0,Dance & Electronic,Here Comes The Fuzz [ Explicit ,0.99,Mark Ronson,( c ) 2015 Karaoke Freaks,$,2.0,Rashi ( Outro ),2003-08-29 00:00:00,1.0
270,0," Music ', 'Hip-Hop/Rap ', ' Rap",Fetty Wap ( Deluxe ),0.0,Fetty Wap,2015 300 Entertainment/RGF Productions,Album Only,5.0,Whateva ( feat . Monty ),2014-12-22 00:00:00,11.0,Rap & Hip-Hop,Fetty Wap ( Deluxe ) [ Clean ,1.29,Fetty Wap,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",$,3.0,For My Team ( feat . Monty ) [ Clean ,2015-09-25 00:00:00,28.0
147,0," Music', 'Dance ",One Love ( Deluxe Version ),1.29,David Guetta,2010 Gum Prod licence exclusive Parlophone Music France,$,2.0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ,2009-08-21 00:00:00,51.0,Dance & Electronic,One Love ( Deluxe Version ),1.29,David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,$,3.0,Sexy Bitch ( Feat . Akon ; Explicit ),2009-08-21 00:00:00,15.0
351,0," East Coast Rap ', ' Hardcore Rap ', ' Rap', ' Music ', 'Hip-Hop/Rap ",O.N.I.F.C. ( Deluxe Version ),1.99,Cameron Jibril Thomaz,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,O.N.I.F.C. [ Explicit ,1.29,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,4.0,Let It Go ( feat . Akon ) [ Explicit ,2012-12-04 00:00:00,18.0
232,0,"Singer/Songwriter ', ' Music ', ' Rock",Live After Deaf ( Live ) [ Complete Collection ,0.99,Ryan Adams,2012 PAXAM RECORDS,$,5.0,If I Am a Stranger ( Live In Amsterdam ),2012-07-02 00:00:00,10.0,"Folk ', ' Rock",Live After Deaf ( Collection ),0.99,Ryan Adams,2012 PAXAM RECORDS,$,4.0,16 Days ( Live in Glasgow ),2012-07-02 00:00:00,31.0
88,0," Rock ', ' Electronic ', 'Dance ', ' French Pop', ' House ', ' Music ",Listen ( Deluxe Version ),1.29,David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",$,3.0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ,2014-11-24 00:00:00,20.0,Dance & Electronic,Listen ( Deluxe ),1.29,David Guetta,2015 If Moving Your Mine,$,3.0,Listen ( feat . John Legend ),2014-11-24 00:00:00,46.0
230,1," Electronic ', ' Music ', 'Pop ', ' Dance', ' Pop/Rock ', ' R&B / Soul ","""I 'm Not Dead""",0.99,P!nk featuring James T. Moore,"2006 RCA/JIVE Label Group , a unit of Sony Music Entertainment",$,3.0,I Have Seen the Rain ( Featuring James T. Moore ),2006-03-04 00:00:00,29.0," R&B', 'Dance & Electronic ', ' Pop ","""I 'm Not Dead [ Explicit ]""",0.99,P!nk,"( C ) 2009 Foo & Blu , LLC under exclusive License to Interscope Records",$,3.0,I Have Seen The Rain ( Featuring James T. Moore ) ( Main Version ),2006-04-04 00:00:00,29.0
308,0," Music ', 'Pop ', ' Electronic ', ' Rock",Applause ( Remixes ),1.29,Lady Gaga,2013 Interscope Records,$,4.0,Applause ( Goldhouse Remix ),2013-09-30 00:00:00,34.0,Pop,Applause ( Remixes ),1.29,Lady Gaga,( C ) 2013 Interscope Records,$,4.0,Applause ( Empire Of The Sun Remix ),2013-09-30 00:00:00,8.0
20,0," Music ', 'Alternative ', ' Rock ', ' Adult Alternative",VHS,1.29,X Ambassadors,2015 KIDinaKORNER/Interscope Records,$,1.0,VHS Outro ( Interlude ),2015-06-30 00:00:00,25.0,Alternative Rock,VHS [ Explicit ,1.29,X Ambassadors,( C ) 2015 KIDinaKORNER/Interscope Records,$,0.0,Moving Day ( Interlude ),2015-06-30 00:00:00,19.0
486,1,"Hip-Hop/Rap ', ' Music",R.O.O.T.S. ( Deluxe Version ),1.29,Flo Rida,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,4.0,Available ( feat . Akon ),2009-03-30 00:00:00,24.0,Rap & Hip-Hop,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ,1.29,Flo Rida,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",$,4.0,Available [ Feat . Akon ,2009-03-30 00:00:00,24.0
412,1," Honky Tonk ', ' Music ', ' Contemporary Country', 'Country ",In the Ranch,1.29,Keith Urban,1997 Capitol Nashville,$,3.0,Billy,1997-01-06 00:00:00,46.0,Country,Keith Urban In The Ranch,1.29,Keith Urban,( c ) 1997 Capitol Nashville,$,3.0,Billy,2004-02-10 00:00:00,46.0
420,0,"Dance ', ' Electronic', ' Music ",Make It Bun Dem After Hours ( Remixes ),1.29,"""Skrillex & Damian `` Jr. . Gong '' Marley""",2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States .,$,3.0,Make It Bun Dem ( Alvin Risk Remix ),2012-08-28 00:00:00,58.0,Dance & Electronic,Make It Bun Dem After Hours EP,1.29,"""Skrillex & Damian Jr Gong '' Marley ''""",2015 RGK,$,3.0,Make It Bun Dem ( David Heartbreak Remix ),2012-08-28 00:00:00,29.0
321,0," Music ', 'Hip-Hop/Rap ', ' Hardcore Rap ', ' East Coast Rap ', ' Rap",O.N.I.F.C. ( Deluxe Version ),1.99,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Remember You ( feat . The Weeknd ),2012-12-04 00:00:00,20.0,Rap & Hip-Hop,O.N.I.F.C. [ Explicit ,1.29,Wiz Khalifa,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,$,5.0,Medicated ( feat . Chevy Woods & Juicy J ) [ Explicit ,2012-12-04 00:00:00,31.0
175,0," Music', 'Dance ",Beautiful Now ( feat . Jon Bellion ) [ Remixes ] - EP,1.29,Zedd,2015 Interscope Records,$,4.0,Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ,2015-07-10 00:00:00,15.0,Dance & Electronic,Spectrum EP,1.29,Zedd,( C ) 2012 Interscope Records,$,6.0,Spectrum ( Deniz Koyu Remix ) [ feat . Matthew Koma ,2012-07-31 00:00:00,35.0
253,1," Honky Tonk', ' Music ', ' Contemporary Country ', 'Country ",Lucky Old Sun,0.99,Kenny Chesney & Willie Nelson,"2008 Blue Chair Records , LLC",$,4.0,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ,2008-01-06 00:00:00,16.0,Country,Lucky Old Sun [ + video ,0.99,Kenny Chesney,"( P ) 2008 Blue Chair Records , LLC and BMG Music",$,4.0,That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),2012-04-24 00:00:00,16.0
